task,recipe,reference,mask_name,metric,is_primary,n,df,mean,std,ci95_low,ci95_high,seeds_json,seed_differences_json
convnext_cifar100,decreasing_ild,dense,primary_two_thirds,excess_ce,True,3,2,-4.814796079762776,2.4548135327867673,-10.912890952086796,1.2832987925612436,"[2000, 2001, 2002]","[-6.225047782897949, -6.239107262039184, -1.9802331943511957]"
convnext_cifar100,decreasing_ild,dense,primary_two_thirds,accuracy_change,False,3,2,0.33650000145037967,0.1091527509833575,0.06534953638184154,0.6076504665189177,"[2000, 2001, 2002]","[0.4083999842405319, 0.3901999816298485, 0.21090003848075867]"
convnext_cifar100,decreasing_ild,dense,one_third,ce,False,3,2,-6.3283026336669925,1.766453252745178,-10.716415775008855,-1.9401894923251302,"[2000, 2001, 2002]","[-8.20119891052246, -6.091534240722657, -4.69217474975586]"
convnext_cifar100,decreasing_ild,dense,one_third,accuracy,False,3,2,0.3022333172460397,0.022597408946966484,0.2460982414910719,0.3583683930010075,"[2000, 2001, 2002]","[0.31999997794628143, 0.2767999954521656, 0.3098999783396721]"
convnext_cifar100,decreasing_ild,dense,one_third,excess_ce,False,3,2,-5.762464122899374,1.8028339492988046,-10.240951924533007,-1.2839763212657402,"[2000, 2001, 2002]","[-7.668060160827638, -5.535433321380616, -4.083898886489868]"
convnext_cifar100,decreasing_ild,dense,one_third,accuracy_change,False,3,2,0.27443333342671394,0.024810548166571487,0.21280051507477932,0.33606615177864857,"[2000, 2001, 2002]","[0.2952999919652939, 0.24699999764561653, 0.2810000106692314]"
convnext_cifar100,decreasing_ild,dense,half,ce,False,3,2,-6.881534318033855,2.922522849438139,-14.141483542029174,0.3784149059614643,"[2000, 2001, 2002]","[-9.13175195236206, -7.934390205383302, -3.578460796356201]"
convnext_cifar100,decreasing_ild,dense,half,accuracy,False,3,2,0.390466654052337,0.08250770780786333,0.1855061455695755,0.5954271625350984,"[2000, 2001, 2002]","[0.4454999752342701, 0.4302999898791313, 0.2955999970436096]"
convnext_cifar100,decreasing_ild,dense,half,excess_ce,False,3,2,-6.315695807266235,2.960849518684606,-13.670853755705817,1.0394621411733462,"[2000, 2001, 2002]","[-8.598613202667234, -7.3782892860412606, -2.9701849330902097]"
convnext_cifar100,decreasing_ild,dense,half,accuracy_change,False,3,2,0.36266667023301125,0.08372705410932343,0.15467713761900345,0.570656202847019,"[2000, 2001, 2002]","[0.42079998925328255, 0.40049999207258224, 0.26670002937316895]"
convnext_cifar100,decreasing_ild,dense,five_sixths,ce,False,3,2,-2.314774319585165,1.4002041388223017,-5.7930742251042355,1.1635255859339058,"[2000, 2001, 2002]","[-2.397444075393677, -3.671812036514283, -0.8750668468475342]"
convnext_cifar100,decreasing_ild,dense,five_sixths,accuracy,False,3,2,0.21689998110135397,0.10886521189811038,-0.0535361972818946,0.4873361594846025,"[2000, 2001, 2002]","[0.2377999722957611, 0.31380000710487366, 0.09909996390342712]"
convnext_cifar100,decreasing_ild,dense,five_sixths,excess_ce,False,3,2,-1.7489358088175455,1.4279597599245157,-5.2961844994320915,1.7983128817970002,"[2000, 2001, 2002]","[-1.8643053256988527, -3.1157111171722414, -0.26679098358154274]"
convnext_cifar100,decreasing_ild,dense,five_sixths,accuracy_change,False,3,2,0.1890999972820282,0.10890184113165219,-0.08142717316161724,0.45962716772567364,"[2000, 2001, 2002]","[0.21309998631477356, 0.2840000092983246, 0.07019999623298645]"
