config,seed,retained,layers,keeps_first,is_prefix,is_odd_layers,is_even_layers,ce,accuracy,perplexity,full_ce,excess_ce,perplexity_ratio_vs_full
decreasing_ild,100,3,"2,4,5",False,False,False,False,5.27842390537262,0.075439453125,196.06062161686953,2.1234680116176605,3.154955893754959,23.452002688842086
decreasing_ild,100,3,"2,4,6",False,False,False,True,5.393535017967224,0.0765380859375,219.97964469700594,2.1234680116176605,3.2700670063495636,26.31310242913573
decreasing_ild,100,3,"2,5,6",False,False,False,False,5.290113091468811,0.0740966796875,198.36585762711206,2.1234680116176605,3.1666450798511505,23.72774598020158
decreasing_ild,100,3,"3,4,5",False,False,False,False,4.688497722148895,0.1048583984375,108.68977485691947,2.1234680116176605,2.5650297105312347,13.001044631875201
decreasing_ild,100,3,"3,4,6",False,False,False,False,4.6844096183776855,0.1102294921875,108.24634678598869,2.1234680116176605,2.560941606760025,12.948003504972633
decreasing_ild,100,3,"3,5,6",False,False,False,False,5.235065162181854,0.067138671875,187.74133958093375,2.1234680116176605,3.1115971505641937,22.456882796499492
decreasing_ild,100,3,"4,5,6",False,False,False,False,5.180588483810425,0.0638427734375,177.78740522401196,2.1234680116176605,3.0571204721927643,21.26623220395337
decreasing_ild,100,4,"1,2,3,4",True,True,False,False,2.1253031492233276,0.376953125,8.375436110269016,2.1234680116176605,0.0018351376056671143,1.001836822501197
decreasing_ild,100,4,"1,2,3,5",True,False,False,False,2.129215747117996,0.3763427734375,8.408270015008002,2.1234680116176605,0.005747735500335693,1.0057642854250297
decreasing_ild,100,4,"1,2,3,6",True,False,False,False,2.131272941827774,0.377685546875,8.425585267918017,2.1234680116176605,0.007804930210113525,1.0078354680748391
decreasing_ild,100,4,"1,2,4,5",True,False,False,False,2.130302846431732,0.3763427734375,8.417415609755233,2.1234680116176605,0.006834834814071655,1.0068582456034396
decreasing_ild,100,4,"1,2,4,6",True,False,False,False,2.1339422166347504,0.3779296875,8.44810551339821,2.1234680116176605,0.010474205017089844,1.0105292515240567
