treatment,seed,retained_depth,mask_group,n_masks,ce,accuracy,excess_ce,accuracy_change
constant_ild,2705,6,all_masks,1,0.073486328125,0.9833333492279053,0.0,0.0
constant_ild,2705,6,keeps_first,1,0.073486328125,0.9833333492279053,0.0,0.0
decreasing_ild,2701,1,prefix,1,0.5138036608695984,0.9305555820465088,0.42945531755685806,-0.052777767181396484
decreasing_ild,2701,1,all_masks,6,0.7393528918425242,0.8208333353201548,0.6550045485297838,-0.16250001390775046
decreasing_ild,2701,1,keeps_first,1,0.5138036608695984,0.9305555820465088,0.42945531755685806,-0.052777767181396484
decreasing_ild,2701,1,drops_first,5,0.7844627380371094,0.798888885974884,0.7001143947243691,-0.18444446325302125
decreasing_ild,2701,2,prefix,1,0.1885063648223877,0.980555534362793,0.10415802150964737,-0.0027778148651123047
decreasing_ild,2701,2,all_masks,15,0.3730057905117671,0.9137036999066671,0.28865744719902675,-0.0696296493212382
decreasing_ild,2701,2,keeps_first,5,0.22072658836841583,0.9694444417953492,0.1363782450556755,-0.013888907432556153
decreasing_ild,2701,2,drops_first,10,0.4491453915834427,0.885833328962326,0.36479704827070236,-0.09750002026557922
decreasing_ild,2701,3,prefix,1,0.1136460229754448,0.9833333492279053,0.029297679662704468,0.0
decreasing_ild,2701,3,all_masks,20,0.2227451615035534,0.9494444519281388,0.13839681819081306,-0.03388889729976654
decreasing_ild,2701,3,keeps_first,10,0.1278619274497032,0.9816666722297669,0.04351358413696289,-0.0016666769981384278
decreasing_ild,2701,3,drops_first,10,0.3176283955574036,0.9172222316265106,0.23328005224466325,-0.06611111760139465
decreasing_ild,2701,3,alternating,2,0.20570579916238785,0.9555555582046509,0.12135745584964752,-0.027777791023254395
decreasing_ild,2701,4,prefix,1,0.09163065999746323,0.9833333492279053,0.0072823166847229,0.0
decreasing_ild,2701,4,all_masks,15,0.1536294455329577,0.9646296262741089,0.06928110222021738,-0.018703722953796388
decreasing_ild,2701,4,keeps_first,10,0.09645575806498527,0.9827777683734894,0.012107414752244949,-0.0005555808544158936
decreasing_ild,2701,4,drops_first,5,0.2679768204689026,0.9283333420753479,0.18362847715616226,-0.05500000715255737
decreasing_ild,2701,5,prefix,1,0.08523429185152054,0.9833333492279053,0.0008859485387802124,0.0
decreasing_ild,2701,5,all_masks,6,0.11303070311745007,0.9749999940395355,0.02868235980470975,-0.008333355188369751
decreasing_ild,2701,5,keeps_first,5,0.08577632457017899,0.9827777743339539,0.0014279812574386596,-0.000555574893951416
decreasing_ild,2701,5,drops_first,1,0.24930259585380554,0.9361110925674438,0.16495425254106522,-0.047222256660461426
decreasing_ild,2701,6,prefix,1,0.08434834331274033,0.9833333492279053,0.0,0.0
decreasing_ild,2701,6,all_masks,1,0.08434834331274033,0.9833333492279053,0.0,0.0
decreasing_ild,2701,6,keeps_first,1,0.08434834331274033,0.9833333492279053,0.0,0.0
